"","Post_Ques","Post_Ans","Average_Severity"
"4617","your so fuckiung pretty but you needa stop worrying so much about guys they should be the least of your worries you have an amazing personality  but guys always make u seem like your so depressed","well thankss  and its not just guys  its one guy who fucked up my life  and i do have shit going on more than just one guy",0
"4618","yummyyyy jordan is sexxyyyyy lemme get a lick","hahahahahaha  who is this",0
"4619","what is the gravest reason youaposve been to hospital forbr","i dont know s",0
"4620","","",0
"4621","","",0
"4622","quot no special ","stfu",0
"4623","quotdamn girl cover up ur damn ass boobiesquot lmfaoo xd wow too bad you donapost ","too bad i dont what",1
"4624","quothonestly you dont know and dont tell me what to doo fooolquot  lmao i love how you sound like me more and more everyday","i know babe i love it too",0
"4625","quoti know right ur like only  stop acting like a slutquot people who say thisneed to shut the fuck up i bet some of you dont even know laura   well this nigguhh is fukking amazingg okay shut upbyei love you laura ","lmao i love you alex",1
"4626","quoti love you laura but if you ended up with tonys baby i would laugh sosoo hard it would be a beautiful baby though quot  chill with that lol","lmfaofoshoo",0
"4627","quotlaura why do you hate me so much  quot if you tell me who you are then ill tell your",NA,0
"4628","    ","r ",1
"4629","  boobies are my passion"," cool",1
"4630","zack i been good its been a long time","yeahhhh",0
"4631","haterssssss","hah",0
"4632"," just go look  please","nahhhhhhh",0
"4633","favorite th graders from any school","niki alexa and aubrie",0
"4634",NA,"vvv",0
"4635"," dont even know casey or kasey  however you fucking spell it but her and laura dont like eachother  so leave them both alone  sooo kaseys little friends hop off her formspring  k thanks","thanks hunny bunn",1
"4636"," do me a favor and get off maa shitt r thank you  r  i dont know who tthaa fuhkk you are","haha bitch smd stupid skank and learn how to spell proper grammer lmaoo",1
"4637"," yessss one day","hahacreepy",0
"4638"," weeks wow i totally change my mind thats like sooooo long im sorry i ever said anythingnot  your too young for makeup especially the amount you were","hehe coming from some pussy that doesnt even put their namepathetic much",1
"4639","actually i dont have a fromspring account and yea iaposll say my name im never going to see your little pathetic self again daniela happy are you going to stop looking like a hoe","daniela what",1
"4640","","im never going to see your little pathetic self again",0
"4641",NA,NA,0
"4642","aha so i was just lerking your formspring and people are pathetic quotoh i dont have an account so i cant write who this isquot ahah bs you are capable of writing your name anyways dont listen to these jealous people aha love and miss youu","demi r i love jur and i miss you too",0
"4643","alexa diego nicole wilson ariel rabion brittany williams daniela sanchez","what about them",0
"4644","all u haterz need to stop hateing and suck a dick cause none of u know laura ur just hateing cause u jealous or u really wanna be like her maybe u haters sould get to know her shes a way better person then all you low lifes p","thanks boo",0
"4645","","na",0
"4646","alot of haters out there u all  leave laura alone  lol  laura ","ily",0
"4647","are ju and isaac going out","yessssssssr r haha nawtttttttttttttt",0
"4648","are u a christian","of course",0
"4649","are u into younger or older guys or both","it depends but usually older",0
"4650","are you a seventh graderr","why yes i amm",0
"4651","are you a virgin","of course stranger",1
"4652","are you a virgin","yes stranger",0
"4653","are you a virgionr","why yes i am",0
"4654","are you and tony goinfg outr","nope not yet",0
"4655","are you columbian","i already answered this",0
"4656","are you columbian","why yes i am strangerr",0
"4657","are you virginian","yes",0
"4658","ask me some questions","lmao roney get out of here",1
"4659","awhh you and tonyy","",0
"4660","babygirl  i dont think so","hahhh well i doo",0
"4661","bahahahaha thataposd be like sleeping with my sister hehe i love our lunchpeace mahh loveee  guess who","k either niki or jujur r ",0
"4662","beach with the blonde how about thursday ","already answered this haha",0
"4663","beach with the blonde how about thursday ","idk i think the zoo with jerryka and then the movies with tony",0
"4664","beauty isnt everything","who said it wasr r ",0
"4665","because youaposre stupid","why  the fuck would you ask me something if your ganna answer for you dumbass but thaks for your quottimeeeeequot",1
"4666","besides tony","tico",1
"4667","bitch donapost be actin like you donapost get high please  alot of people have seen you and some people even saw u give a smooch on the lips to emily so fuck off u lesbian bicth and stop acting like the whole world is yours mkay great","stfuu your gay r hopp offr your the lesbian here that wont leave me aloner and why the fuck would you care if i think the whole world is mineer quotgrow upppquot",1
"4668","bitch get one thing straight toney well never go out ur pretty but ur such a bitch on the inside sorry but i dont like you no one does the only reson people are nice to u is cause of ur sister so stop thinking ur hot shit and be urself","im always myself and dont worry about my relationships  theyre definitely none of your business im only a bitch if you deserve for me to be one  which im sure you do",1
"4669",NA,NA,0
"4670","","na",0
"4671","bitch i fucking lovee youuuuu christian","love you too brothaaa ",0
"4672","bro are you kidding me stop talking already  fuck","then stop writing on my formspring you dipshitr formspring is to ask questionssssssssr r r dumb bitchhh ",1
"4673",NA,NA,0
"4674","","you dipshit dumb bitchhh",0
"4675","but she wants to go to palmettor  vvv","haha",0
"4676","can i ask you something","sureee",0
"4677","can u all chill moises probably didn even talk to her","wtf",0
"4678","can u whoop me lmao its erick","too bad i did hahhhhh",0
"4679","cant especially now but i will dont worry lol if i still kno u in a couple years  nd u cant become a crackhead or anythin like thtr","lol dalee",0
"4680","cool background","thanksss",0
"4681","damn  all these ppl hatin and shit on my baby laura yall need to get a fuckin life or kill yo self fool","ily babe",1
"4682","damn  too bad youaposre taken","haha",0
"4683","damn girl cover up ur damn ass boobies","",1
"4684","define quothooked upquot","making out or going farther",0
"4685","did you and moises ever hook up and shit cause im sure he wanted too","haha nopee and how would you know",0
"4686","did you hangout with moises today  because i saw his status and it said your name and if you did  how do you even know him like your in th grade for crying out loud","yes i did and dont worry about it",1
"4687","did you used to smoke","dont worry bout it",0
"4688","do u know anyone named tyler at  southwood","y yes i doo what about you tyler",0
"4689","do u like kasey conde as a friend","haha deff not stupid skankkk",1
"4690","do u want a tatto","um idk maybe when im older",0
"4691","do ya like any","im not sure  do you",0
"4692","do you believe everything you hear","not at all",0
"4693","do you hate natasha drayton","not at all",0
"4694","do you have a sis","two niggah",0
"4695","do you have boyfriend","not yet",0
"4696","do you iron your hair","sometimes ",0
"4697","do you know a kid named luis thataposs like a senior in columbus or a junior iaposm not sure how do you know him heaposs really cute","haha maybe whats his last name",0
"4698","do you know that your fuckin amazingg d","well now i know ",0
"4699","do you knoww that i love you ","haha yes baby",0
"4700","do you like dick","do you",1
"4701","do you like her","jerrykar thats my sis",0
"4702","do you love rebecca lyn ","of course i doo",0
"4703","do you miss rebecca lyn ","yes i door thats my babyyy",0
"4704","do you smoke","no",0
"4705","do you take relationships seriouslyr ","of courseeee",0
"4706","do you think your prettier than your sister","fuck nooo",0
"4707","do you wear makeup","yes i doo",0
"4708","do yuuuuuuuuuu like natasha and if you dont then whyyyyyyyyy","um i dooo",0
"4709","does haley have a formspring","",0
"4710","does she  i wanna see something my friend told me he posted something on there and wont tell me","juat got on her fb and click links",0
"4711","donapost worry i still b your friend when your in highschool","lmaoooo",0
"4712","dont listen to any of those fucking people down there v v all that really matters is that you enjoy your life  and you love your friendsage doesnt matter just make sure you are living  and not existing  i love you babay gurrll ","awww thanks bby gurl i love you too",0
"4713","doo you really like tony","yes  a lot",0
"4714","duuudeee  geeet off laurasss dicccck vvv stopp beinggg a pusssssy and at leasst put youur name d","hah i love you gurly",0
"4715","erpcoder hello r we got a report for harassment on your page we have successfully deleted their account anymore bugs  contact formspringformspringcomr have a great dayr formspring","fake shit",0
"4716","especially since im tired of my friends who are in couples  getting into fights and almost breaking up  because a stupid little whore canapost get any guys  and has to be all over the ones with girlfriends","smdddd bitch",0
"4717","ever kissed a girll","o",0
"4718","fail vv","lol word",0
"4719","favorite th graders","ummm from southwood",0
"4720","fuck me","hah nah stranger",1
"4721","fuck they haterrs laura i love you  ","",0
"4722","get a life wen u get to high skoo u aint  funna have no older freinds u funna be stuck wiff the jits ur age  so i sugest u make some new freinds","lmfaoooo r well you dont know my life  and dont worry about me twinke",0
"4723","girl whoes saying its elizabeth stfu and stop putting her name cuz i know thats not herrrr","",0
"4724","grrrr   next week","great",0
"4725","gues who this is it stars with a jacob","haha let me guess jacob lol",0
"4726","guess who thisss is r i am not fakee at all  r rachel and stephhh  r are one of the best sisters  r in thaa world r iaposm begging you r hop off r i donapost even knoww you r we never had a damn conversation r go find something better to do with yourself"," get a life",1
"4727","guess who quotelvis elvis let me bekeep your pelvis far from mequot o","lmfao i have a videoooooooo",0
"4728","guuurl don mess wit me jk i canapost act ghetto dammit ","lmao let me guess  erickk",0
"4729","haha  wow laura  they vv are jelous you have boobs  they dont and listen up v sheaposs not a whore or bitch  so chill with that loveyouubabyyy","haha thanks bby gurll",0
"4730","haha i remember you will always do that evil laugh in th period ","lmao i miss you soooooo much",0
"4731","haha that wasnt me beetedubs whoeveer wrote that about ouur lunch v i love you though","hahah i love you too",0
"4732","hahahah b jealous tht she hung out wit moises or b jealous holy shiiiih u worry bout u and sheaposll worry bout her and hey again never found out who i was ","lol then tell me",0
"4733","hahahaha tapia ia a good name","jess it isd",1
